name,url,brand,price,main_category,sub_category,product_id
Dunlop Impact Green Nh,https://www.decathlon.de/p/mp/dunlop/dunlop-impact-green-nh/_/R-p-af0dd29e-175e-4d07-a8e7-0c9442c6f401?mc=af0dd29e-175e-4d07-a8e7-0c9442c6f401_c9&c=grün,DUNLOP,"61,90 €",padel-tennis,padelausrustung,
Dunlop Samurai Soft,https://www.decathlon.de/p/mp/dunlop/dunlop-samurai-soft/_/R-p-750458ba-a873-4ab3-82ba-6d4c13116436?mc=750458ba-a873-4ab3-82ba-6d4c13116436_c255&c=bunt,DUNLOP,"61,90 €",padel-tennis,padelausrustung,750458
HEAD FLASH 23 Padelschläger,https://www.decathlon.de/p/mp/head/head-flash-23-padelschlager/_/R-p-9b8d4488-2668-4a78-bc75-0f008b5a010e?mc=9b8d4488-2668-4a78-bc75-0f008b5a010e_c60.c191&c=rosa_grün,HEAD,67 €,padel-tennis,padelausrustung,9
Drive Light 3.3 Padelschläger,https://www.decathlon.de/p/mp/adidas/drive-light-3-3-padelschlager/_/R-p-23a819b9-7f65-4ed1-8edf-7058de3673a1?mc=23a819b9-7f65-4ed1-8edf-7058de3673a1_c9.c5&c=grün_blau,ADIDAS,67 €,padel-tennis,padelausrustung,23
Nox Tempo Wpt Luxury Series 2022,https://www.decathlon.de/p/mp/nox/nox-tempo-wpt-luxury-series-2022/_/R-p-651e0b86-4f0f-4502-bbc2-16fac9949b78?mc=651e0b86-4f0f-4502-bbc2-16fac9949b78_c1.c5&c=schwarz_blau,NOX,"121,90 €",padel-tennis,padelausrustung,651
Bullpadel Hack 03 23 Padelschläger,https://www.decathlon.de/p/mp/bullpadel/bullpadel-hack-03-23-padelschlager/_/R-p-74ceaebb-e9d5-4113-bf55-bbbffc23ae50?mc=74ceaebb-e9d5-4113-bf55-bbbffc23ae50_c1&c=schwarz,BULLPADEL,"166,90 €",padel-tennis,padelausrustung,74
Padel Ball mit Druck - Kuikma PB Speed 3er-Dose,https://www.decathlon.de/p/padel-ball-mit-druck-kuikma-pb-speed-3er-dose/_/R-p-345162?mc=8788980&c=gelb,KUIKMA,"4,99 €",padel-tennis,padelausrustung,8788980
PADEL BALL - PINKER TURNIER PADEL BALL 4 STÜCK,https://www.decathlon.de/p/mp/tennis-academy/padel-ball-pinker-turnier-padel-ball-4-stuck/_/R-p-1ca7307d-2a09-4ac3-af1c-ae6856719066?mc=1ca7307d-2a09-4ac3-af1c-ae6856719066_c60.c17&c=rosa_violett,TENNIS ACADEMY,15 €,padel-tennis,padelausrustung,1
ML10 Pro Cup Rough Surface Edition 23 Padelschläger,https://www.decathlon.de/p/mp/nox/ml10-pro-cup-rough-surface-edition-23-padelschlager/_/R-p-36c1be5f-dfa6-49be-bbb1-508c9e8586e9?mc=36c1be5f-dfa6-49be-bbb1-508c9e8586e9_c1.c14&c=schwarz_rot,NOX,"132,90 €",padel-tennis,padelausrustung,36
Bullpadel Vertex W Pack,https://www.decathlon.de/p/mp/bullpadel/bullpadel-vertex-w-pack/_/R-p-cf80fc6e-7f67-4f87-9495-e84e69a1dc96?mc=cf80fc6e-7f67-4f87-9495-e84e69a1dc96_c238&c=blau,BULLPADEL,159 €,padel-tennis,padelausrustung,
