name,main_category,sub_category,url,brand,price,product_id
Regenjacke Herren - Raincut Fullzip schwarz,herren,outdoor-jacken,https://www.decathlon.de/p/regenjacke-herren-raincut-fullzip/_/R-p-350837?mc=8844533&c=schwarz,QUECHUA,"17,99 €",8844533
Regenjacke Herren winddicht wasserabweisend 1/2 Zip Wandern - Raincut,herren,outdoor-jacken,https://www.decathlon.de/p/regenjacke-herren-winddicht-wasserabweisend-1-2-zip-wandern-raincut/_/R-p-5332?mc=8300326&c=schwarz,QUECHUA,"12,99 €",8300326
Wanderjacke Herren wasserdicht leicht - MH500 schwarz,herren,outdoor-jacken,https://www.decathlon.de/p/wanderjacke-herren-leicht-wasserdicht-mh500/_/R-p-301681?mc=8612171&c=schwarz,QUECHUA,"99,99 €",8612171
Segeljacke Herren wasserdicht winddicht - 500 rot/gelb,herren,outdoor-jacken,https://www.decathlon.de/p/regenjacke-segeln-herren-wasserdicht-500/_/R-p-330038?mc=8773662&c=rot_gelb,TRIBORD,"109,99 €",8773662
Wanderjacke Herren wasserdicht leicht - MH900,herren,outdoor-jacken,https://www.decathlon.de/p/wanderjacke-herren-wasserdicht-leicht-mh900/_/R-p-150330?mc=8382335&c=grau_schwarz,QUECHUA,"129,99 €",8382335
