id,main_category,sub_category,product_name,brand,price,url,timestamp,store_aboveThreshold,store_address,store_availabilityInfo,store_clickNcollect1h,store_favoriteStore,store_latitude,store_longitude,store_optionId,store_originId,store_phoneNumber,store_priceId,store_quantity,store_quantityShowroom,store_replenishmentEndDate,store_replenishmentStartDate,store_securedStockLevel,store_skuId,store_storeId,store_storeName,store_storeSchedule,store_storeUrl
8731616,camping,zelte,Familienzelt Stangenaufbau - Arpenaz 4.1 Fresh & Black 4 Personen in 1 Kabine,QUECHUA,"199,99 €",https://www.decathlon.de/p/familienzelt-stangenaufbau-arpenaz-4-1-fresh-black-fur-4-personen-1-kabine/_/R-p-177332?mc=8731616&c=blau_beige,2024-05-11 19:32:38.328488,False,,inStock,True,False,0,0,,,,,6,0,,,1,4456574,0070116801168,Berlin-Schlossstrasse,,
8492484,camping,zelte,Wurfzelt XL - 2 Seconds Fresh & Black für 3 Personen,QUECHUA,"164,99 €",https://www.decathlon.de/p/wurfzelt-xl-2-seconds-fresh-black-fur-3-personen/_/R-p-172537?mc=8492484&c=weiß_blau,2024-05-11 19:32:38.328488,False,,inStock,True,False,0,0,,,,,5,0,,,1,2556864,0070116801168,Berlin-Schlossstrasse,,
8576111,camping,zelte,Campingzelt MH100 Fresh & Black für 3 Personen,QUECHUA,"79,99 €",https://www.decathlon.de/p/campingzelt-mh100-fresh-black-fur-3-personen/_/R-p-313085?mc=8576111&c=beige_blau_grün,2024-05-11 19:32:38.328488,False,,inStock,True,False,0,0,,,,,22,0,,,1,2963895,0070116801168,Berlin-Schlossstrasse,,
8642422,camping,zelte,Dachzelt Fresh & Black - MH500 für 2 Personen,QUECHUA,"1.399,99 €",https://www.decathlon.de/p/dachzelt-fresh-black-mh500-fur-2-personen/_/R-p-331938?mc=8642422,2024-05-11 19:32:38.328488,False,,noStock,False,False,0,0,,,,,0,0,,,1,4274620,0070116801168,Berlin-Schlossstrasse,,
8641758,camping,zelte,Campingzelt Fresh & Black - MH100 XL für 3 Personen,QUECHUA,"119,99 €",https://www.decathlon.de/p/campingzelt-fresh-black-mh100-xl-fur-3-personen/_/R-p-331796?mc=8641758&c=beige_blau_grau,2024-05-11 19:32:38.328488,False,,inStock,True,False,0,0,,,,,6,0,,,1,4271868,0070116801168,Berlin-Schlossstrasse,,
8648382,camping,zelte,Familienzelt aufblasbar - Air Seconds 4.1 Fresh & Black für 4 Personen 1 Kabine,QUECHUA,"419,99 €",https://www.decathlon.de/p/familienzelt-aufblasbar-fresh-black-air-seconds-4-1-fur-4-personen-1-kabine/_/R-p-302837?mc=8648382&c=beige,2024-05-11 19:32:38.328488,False,,inStock,True,False,0,0,,,,,2,1,,,1,4327055,0070116801168,Berlin-Schlossstrasse,,
8492687,camping,zelte,Wurfzelt 2 Seconds LTD Scout für 3 Personen braun/grün,QUECHUA,"79,99 €",https://www.decathlon.de/p/wurfzelt-2-seconds-ltd-scout-fur-3-personen/_/R-p-3349?mc=8492687&c=blau,2024-05-11 19:32:38.328488,False,,noStock,False,False,0,0,,,,,0,0,,,1,2558275,0070116801168,Berlin-Schlossstrasse,,
8513471,camping,zelte,Campingzelt MH100 für 2 Personen,QUECHUA,"34,99 €",https://www.decathlon.de/p/campingzelt-mh100-fur-2-personen/_/R-p-303295?mc=8513471&c=grau_blau_grün,2024-05-11 19:32:38.328488,False,,inStock,True,False,0,0,,,,,27,0,,,1,2467687,0070116801168,Berlin-Schlossstrasse,,
8648383,camping,zelte,Familienzelt Stangenaufbau - Arpenaz 4.1 für 4 Personen in 1 Kabine,QUECHUA,"159,99 €",https://www.decathlon.de/p/familienzelt-1-kabine-stangenaufbau-arpenaz-4-1-fur-4-personen/_/R-p-4123?mc=8648383&c=blau_grün,2024-05-11 19:32:38.328488,False,,inStock,True,False,0,0,,,,,5,0,,,1,4327058,0070116801168,Berlin-Schlossstrasse,,
8801561,camping,zelte,Wurfzelt Fresh & Black - 2 Seconds für 3 Personen,QUECHUA,"129,99 €",https://www.decathlon.de/p/wurfzelt-fresh-black-2-seconds-fur-3-personen/_/R-p-346717?mc=8801561&c=weiß,2024-05-11 19:32:38.328488,False,,inStock,True,False,0,0,,,,,8,0,,,1,4854124,0070116801168,Berlin-Schlossstrasse,,
8576112,camping,zelte,Campingzelt MH100 Fresh & Black für 2 Personen,QUECHUA,"64,99 €",https://www.decathlon.de/p/campingzelt-mh100-fresh-black-fur-2-personen/_/R-p-313100?mc=8576112&c=beige_grau_grün,2024-05-11 19:32:38.328488,False,,noStock,False,False,0,0,,,,,0,0,,,1,2963896,0070116801168,Berlin-Schlossstrasse,,
8755590,camping,zelte,Campingzelt - MH100 XXL für 4 Personen,QUECHUA,"129,99 €",https://www.decathlon.de/p/familienzelt-1-kabine-stangenaufbau-arpenaz-4-fur-4-personen/_/R-p-105650?mc=8755590&c=blau_grau,2024-05-11 19:32:38.328488,False,,inStock,False,False,0,0,,,,,1,0,,,1,4557070,0070116801168,Berlin-Schlossstrasse,,
