,id,main_category,sub_category,product_name,brand,price,store_skuId,timestamp,store_storeId,store_storeName,store_quantity,store_availabilityInfo,store_clickNcollect1h
3916,8810951.0,camping,zelte,Familienzelt Stangenaufbau - Arpenaz 5.2 Fresh & Black 5 Personen in 2 Kabinen,QUECHUA,349.99,4899358,2024-05-10 18:16:51.728974,0070072800728,Essen,0,False,False
4163,8810951.0,camping,zelte,Familienzelt Stangenaufbau - Arpenaz 5.2 Fresh & Black 5 Personen in 2 Kabinen,QUECHUA,349.99,2380420,2024-05-10 18:16:51.728974,0070072800728,Essen,0,False,False
4409,8734596.0,camping,zelte,Anbauzelt zum Verbinden mit Dachzelt MH500 2P,QUECHUA,299.99,4490211,2024-05-10 18:16:51.728974,0070072800728,Essen,1,False,False
4655,8572950.0,camping,zelte,Familienzelt aufblasbar - Air Seconds 4.2 Fresh & Black für 4 Personen 2 Kabinen,QUECHUA,529.99,2893031,2024-05-10 18:16:51.728974,0070072800728,Essen,0,False,False
4891,8601387.0,camping,zelte,Handpumpe Camping UltimComfort 10 PSI für aufblasbare Zelte,QUECHUA,27.99,4108963,2024-05-10 18:16:51.728974,0070072800728,Essen,29,False,True
5137,8648391.0,camping,zelte,Aufenthaltszelt Stangenaufbau - Arpenaz Base für 6 Personen,QUECHUA,139.99,4327106,2024-05-10 18:16:51.728974,0070072800728,Essen,7,False,True
5383,8561167.0,camping,zelte,Familienzelt Stangenaufbau - Arpenaz 4.2 Fresh & Black 4 Personen in 2 Kabinen,QUECHUA,279.99,2895865,2024-05-10 18:16:51.728974,0070072800728,Essen,2,False,True
5612,8576112.0,camping,zelte,Campingzelt MH100 Fresh & Black für 2 Personen,QUECHUA,64.99,2963896,2024-05-10 18:18:25.647968,0070027300273,Herne,0,False,False
5846,8553542.0,camping,zelte,Campingzelt - MH100 für 3 Personen,QUECHUA,49.99,2758193,2024-05-10 18:18:25.647968,0070027300273,Herne,16,False,True
6080,8361558.0,fitness,fitnessgerate-fur-zuhause,Rudergerät D PM5 Concept 2,CONCEPT 2,1164.99,2052983,2024-05-10 18:57:32.676129,0070072800728,Essen,0,False,False
6325,8816725.0,fitness,fitnessgerate-fur-zuhause,Hantelscheibe Gusseisen 28 mm 5 kg,CORENGTH,12.99,4934746,2024-05-10 18:57:32.676129,0070072800728,Essen,18,False,True
6575,8577670.0,fitness,fitnessgerate-fur-zuhause,Yogablock Kork,KIMJALY,10.99,2976432,2024-05-10 18:57:32.676129,0070072800728,Essen,7,False,True
6832,8018574.0,fitness,fitnessgerate-fur-zuhause,Hantelset 20 kg,CORENGTH,59.99,411314,2024-05-10 18:57:32.676129,0070072800728,Essen,1,False,False
7089,8766093.0,fitness,fitnessgerate-fur-zuhause,Hantelbank 900 verstärkt Schrägbank Negativ-Bank,CORENGTH,149.99,4660463,2024-05-10 18:57:32.676129,0070072800728,Essen,1,False,False
7346,8484819.0,fitness,fitnessgerate-fur-zuhause,"Fitness Band, Trainingsband Crosstraining 15 kg",CORENGTH,7.99,2531585,2024-05-10 18:57:32.676129,0070072800728,Essen,68,False,True
7588,8484820.0,fitness,fitnessgerate-fur-zuhause,"Fitness Band, Trainingsband Cross Training 25 kg",CORENGTH,11.99,2531586,2024-05-10 18:57:32.676129,0070072800728,Essen,49,False,True
7841,8501452.0,fitness,fitnessgerate-fur-zuhause,Rudergerät Essential R120,DOMYOS,249.99,2491923,2024-05-10 18:57:32.676129,0070072800728,Essen,0,False,False
8098,8484134.0,fitness,fitnessgerate-fur-zuhause,Kraftstation geführte Last kompakt - Home Gym 900,CORENGTH,399.99,2526815,2024-05-10 18:57:32.676129,0070072800728,Essen,1,False,False
8355,8336581.0,fitness,fitnessgerate-fur-zuhause,Hantelset 2 × 3 kg - grau,DOMYOS,19.99,712811,2024-05-10 18:57:32.676129,0070072800728,Essen,4,False,True
8612,9.0,fitness,fitnessgerate-fur-zuhause,T-R01 Laufband,HORIZON FITNESS,299.0,ef8ab573-810a-41bb-beaa-972c6e162043,2024-05-10 18:57:32.676129,0070072800728,Essen,0,False,False
8869,8542707.0,fitness,fitnessgerate-fur-zuhause,Laufband Connected kompakt zusammenklappbar 10 % motorisierte Neigung - RUN500,DOMYOS,699.99,2711064,2024-05-10 18:57:32.676129,0070072800728,Essen,0,False,False
9126,8666894.0,fitness,fitnessgerate-fur-zuhause,Rudergerät 500B Self Powered mit App-Steuerung,DOMYOS,449.99,4367777,2024-05-10 18:57:32.676129,0070072800728,Essen,2,False,True
9383,8816726.0,fitness,fitnessgerate-fur-zuhause,Hantelscheibe Gusseisen 28 mm 10 kg,CORENGTH,24.99,4934747,2024-05-10 18:57:32.676129,0070072800728,Essen,6,False,True
9629,8336573.0,fitness,fitnessgerate-fur-zuhause,Hantelset 2 × 2 kg - dunkelblau,DOMYOS,14.99,712792,2024-05-10 18:57:32.676129,0070072800728,Essen,13,False,True
9886,8751180.0,fitness,fitnessgerate-fur-zuhause,Crosstraining-Ringe aus Holz,CORENGTH,29.99,4581752,2024-05-10 18:57:32.676129,0070072800728,Essen,5,False,True
10137,8651539.0,fitness,fitnessgerate-fur-zuhause,Bodenschutzmatte 58 × 58 cm modulierbar,DOMYOS,14.99,4345075,2024-05-10 18:57:32.676129,0070072800728,Essen,3,False,True
10373,8902450.0,fitness,fitnessgerate-fur-zuhause,Kraftstation ‒ Power Rack 900,CORENGTH,449.99,5306794,2024-05-10 19:02:19.139821,0070072600726,Hagen,0,False,False
10514,8786091.0,fitness,fitnessgerate-fur-zuhause,Gewichtsweste 6–10 kg Krafttraining anpassbar,CORENGTH,49.99,4771991,2024-05-10 19:02:19.139821,0070072600726,Hagen,4,False,True
10752,22.0,fitness,fitnessgerate-fur-zuhause,Hantelset 2 x 02 Kg - Hexagon Kurzhantel Set mit Neoprenbeschichtung rot,NEOLYMP,14.99,220bdc2e-0635-4923-a529-7fb9d6c51743,2024-05-10 19:02:19.139821,0070072600726,Hagen,0,False,False
10763,22.0,fitness,fitnessgerate-fur-zuhause,Hantelset 2 x 02 Kg - Hexagon Kurzhantel Set mit Neoprenbeschichtung rot,NEOLYMP,14.99,e8d615a6-2c7e-4375-abb6-45b64c654b26,2024-05-10 19:02:19.139821,0070072600726,Hagen,0,False,False
10774,22.0,fitness,fitnessgerate-fur-zuhause,Hantelset 2 x 02 Kg - Hexagon Kurzhantel Set mit Neoprenbeschichtung rot,NEOLYMP,14.99,a119601a-b801-41dd-ae89-c6cbe30a5099,2024-05-10 19:02:19.139821,0070072600726,Hagen,0,False,False
10785,22.0,fitness,fitnessgerate-fur-zuhause,Hantelset 2 x 02 Kg - Hexagon Kurzhantel Set mit Neoprenbeschichtung rot,NEOLYMP,14.99,606d8a1c-799f-498d-8483-9423e9f28bb3,2024-05-10 19:02:19.139821,0070072600726,Hagen,0,False,False
10796,22.0,fitness,fitnessgerate-fur-zuhause,Hantelset 2 x 02 Kg - Hexagon Kurzhantel Set mit Neoprenbeschichtung rot,NEOLYMP,14.99,3fe0be59-7665-41b8-a94b-23ab9695c7b9,2024-05-10 19:02:19.139821,0070072600726,Hagen,0,False,False
10807,22.0,fitness,fitnessgerate-fur-zuhause,Hantelset 2 x 02 Kg - Hexagon Kurzhantel Set mit Neoprenbeschichtung rot,NEOLYMP,14.99,d39991c9-7875-4315-a6bb-29b821bd40a0,2024-05-10 19:02:19.139821,0070072600726,Hagen,0,False,False
10818,22.0,fitness,fitnessgerate-fur-zuhause,Hantelset 2 x 02 Kg - Hexagon Kurzhantel Set mit Neoprenbeschichtung rot,NEOLYMP,14.99,79fc8e55-df57-4f8d-8dc1-ce8029d69d2d,2024-05-10 19:02:19.139821,0070072600726,Hagen,0,False,False
10829,8816723.0,fitness,fitnessgerate-fur-zuhause,Hantelscheibe Gusseisen 28 mm 2 kg,CORENGTH,4.99,4934724,2024-05-10 19:02:19.139821,0070072600726,Hagen,19,False,True
11066,8826512.0,fahrrad-welt,fahrrader,E-Lastenfahrrad Cargobike R500E Longtail V2 hellgrün,BTWIN,2999.0,4977360,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
11322,8526895.0,fahrrad-welt,fahrrader,E-Bike City Trekking Bike 28 Zoll Elops LD500E LF Damen grün,ELOPS,1499.0,2652467,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
11342,8526895.0,fahrrad-welt,fahrrader,E-Bike City Trekking Bike 28 Zoll Elops LD500E LF Damen grün,ELOPS,1499.0,2652466,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
11362,8526895.0,fahrrad-welt,fahrrader,E-Bike City Trekking Bike 28 Zoll Elops LD500E LF Damen grün,ELOPS,1499.0,4855831,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
11382,8526893.0,fahrrad-welt,fahrrader,E-Bike City-Bike 28 Zoll LD 920E Automatic Owuru hoher Einstieg,BTWIN,2499.0,2652463,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
11638,8526893.0,fahrrad-welt,fahrrader,E-Bike City-Bike 28 Zoll LD 920E Automatic Owuru hoher Einstieg,BTWIN,2499.0,2652462,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
11894,8526893.0,fahrrad-welt,fahrrader,E-Bike City-Bike 28 Zoll LD 920E Automatic Owuru hoher Einstieg,BTWIN,2499.0,2652464,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
12150,8664452.0,fahrrad-welt,fahrrader,E-Bike City-Bike 28 Zoll LD 920E Automatic Owuru niedriger Einstieg,BTWIN,2499.0,4429398,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
12396,8664452.0,fahrrad-welt,fahrrader,E-Bike City-Bike 28 Zoll LD 920E Automatic Owuru niedriger Einstieg,BTWIN,2499.0,4429399,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
12641,8664452.0,fahrrad-welt,fahrrader,E-Bike City-Bike 28 Zoll LD 920E Automatic Owuru niedriger Einstieg,BTWIN,2499.0,4855832,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
12887,8378612.0,fahrrad-welt,fahrrader,City Bike 28 Zoll Elops 520 LF Damen blau,ELOPS,359.99,2166411,2024-05-10 20:04:18.367934,0070072800728,Essen,2,False,True
13133,8378612.0,fahrrad-welt,fahrrader,City Bike 28 Zoll Elops 520 LF Damen blau,ELOPS,359.99,2166412,2024-05-10 20:04:18.367934,0070072800728,Essen,3,False,True
13379,8378612.0,fahrrad-welt,fahrrader,City Bike 28 Zoll Elops 520 LF Damen blau,ELOPS,359.99,2961174,2024-05-10 20:04:18.367934,0070072800728,Essen,2,False,True
13625,8378612.0,fahrrad-welt,fahrrader,City Bike 28 Zoll Elops 520 LF Damen blau,ELOPS,359.99,2961179,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
13871,8378612.0,fahrrad-welt,fahrrader,City Bike 28 Zoll Elops 520 LF Damen blau,ELOPS,359.99,2961178,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
14117,8378612.0,fahrrad-welt,fahrrader,City Bike 28 Zoll Elops 520 LF Damen blau,ELOPS,359.99,2961177,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
14363,8378612.0,fahrrad-welt,fahrrader,City Bike 28 Zoll Elops 520 LF Damen blau,ELOPS,359.99,2961182,2024-05-10 20:04:18.367934,0070072800728,Essen,1,False,False
14609,8378612.0,fahrrad-welt,fahrrader,City Bike 28 Zoll Elops 520 LF Damen blau,ELOPS,359.99,2961181,2024-05-10 20:04:18.367934,0070072800728,Essen,3,False,True
14855,8378612.0,fahrrad-welt,fahrrader,City Bike 28 Zoll Elops 520 LF Damen blau,ELOPS,359.99,2961180,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
15101,8549669.0,fahrrad-welt,fahrrader,City Bike Elops Speed 900 grau,BTWIN,449.99,2757210,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
15357,8549669.0,fahrrad-welt,fahrrader,City Bike Elops Speed 900 grau,BTWIN,449.99,2757209,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
15613,8549669.0,fahrrad-welt,fahrrader,City Bike Elops Speed 900 grau,BTWIN,449.99,2757208,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
15869,8549669.0,fahrrad-welt,fahrrader,City Bike Elops Speed 900 grau,BTWIN,449.99,2757212,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
16125,8549669.0,fahrrad-welt,fahrrader,City Bike Elops Speed 900 grau,BTWIN,449.99,4630010,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
16381,8549669.0,fahrrad-welt,fahrrader,City Bike Elops Speed 900 grau,BTWIN,449.99,4630011,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
16637,8549669.0,fahrrad-welt,fahrrader,City Bike Elops Speed 900 grau,BTWIN,449.99,4630012,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
16893,8526892.0,fahrrad-welt,fahrrader,E-Bike City Bike Long Distance 28 Zoll Elops LD500E HF Herren,ELOPS,1499.0,2652460,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
