id,gender,category,product_name,brand,timestamp,price,store_aboveThreshold,store_address,store_availabilityInfo,store_clickNcollect1h,store_favoriteStore,store_latitude,store_longitude,store_quantity,store_storeId,store_storeName
8382335,herren,outdoor-jacken,Wanderjacke Herren wasserdicht leicht - MH900 schwarz,QUECHUA,2024-04-27 21:17:54.189115,"129,99 €",False,,inStock,True,False,0,0,3,0070048700487,Würzburg
8580029,herren,outdoor-jacken,3-in-1-Jacke Herren bis 0 °C wasserdicht Backpacking - Travel 100 khaki,FORCLAZ,2024-04-27 21:17:55.086289,"59,99 €",False,,inStock,True,False,0,0,2,0070048700487,Würzburg
8580029,herren,outdoor-jacken,3-in-1-Jacke Herren bis 0 °C wasserdicht Backpacking - Travel 100 khaki,FORCLAZ,2024-04-27 21:17:55.845211,"59,99 €",False,,inStock,True,False,0,0,3,0070048700487,Würzburg
8580029,herren,outdoor-jacken,3-in-1-Jacke Herren bis 0 °C wasserdicht Backpacking - Travel 100 khaki,FORCLAZ,2024-04-27 21:17:56.620324,"59,99 €",False,,inStock,True,False,0,0,4,0070048700487,Würzburg
8580029,herren,outdoor-jacken,3-in-1-Jacke Herren bis 0 °C wasserdicht Backpacking - Travel 100 khaki,FORCLAZ,2024-04-27 21:17:57.404997,"59,99 €",False,,inStock,False,False,0,0,1,0070048700487,Würzburg
8580029,herren,outdoor-jacken,3-in-1-Jacke Herren bis 0 °C wasserdicht Backpacking - Travel 100 khaki,FORCLAZ,2024-04-27 21:17:58.208983,"59,99 €",False,,inStock,False,False,0,0,1,0070048700487,Würzburg
8580029,herren,outdoor-jacken,3-in-1-Jacke Herren bis 0 °C wasserdicht Backpacking - Travel 100 khaki,FORCLAZ,2024-04-27 21:17:59.212263,"59,99 €",False,,inStock,True,False,0,0,3,0070048700487,Würzburg
8573829,herren,outdoor-jacken,Wattierte Jacke Herren bis -5 °C Kapuze Trekking - MT100,FORCLAZ,2024-04-27 21:18:00.011986,"39,99 €",False,,inStock,True,False,0,0,2,0070048700487,Würzburg
8573829,herren,outdoor-jacken,Wattierte Jacke Herren bis -5 °C Kapuze Trekking - MT100,FORCLAZ,2024-04-27 21:18:00.835418,"39,99 €",False,,inStock,True,False,0,0,3,0070048700487,Würzburg
8573829,herren,outdoor-jacken,Wattierte Jacke Herren bis -5 °C Kapuze Trekking - MT100,FORCLAZ,2024-04-27 21:18:01.701845,"39,99 €",False,,inStock,True,False,0,0,4,0070048700487,Würzburg
8573829,herren,outdoor-jacken,Wattierte Jacke Herren bis -5 °C Kapuze Trekking - MT100,FORCLAZ,2024-04-27 21:18:02.508017,"39,99 €",False,,inStock,False,False,0,0,1,0070048700487,Würzburg
