name,main_category,sub_category,url,brand,price,product_id
3-in-1-Jacke Damen bis -10 °C wasserdicht - Travel 700 schwarz,damen,jacken,https://www.decathlon.de/p/3-in-1-jacke-damen-bis-10-c-wasserdicht-travel-700/_/R-p-124745?mc=8343820&c=schwarz,FORCLAZ,"109,99 €",8343820
Softshellweste Damen - Trek 500 dunkelblau,damen,jacken,https://www.decathlon.de/p/softshellweste-damen-trek-500-dunkelblau/_/R-p-306968?mc=8550541&c=blau,FORCLAZ,"34,99 €",8550541
Winterjacke Damen bis -10 °C wasserdicht Winterwandern - SH500 gelb,damen,jacken,https://www.decathlon.de/p/winterjacke-damen-bis-10-c-wasserdicht-winterwandern-sh500/_/R-p-331299?mc=8641502&c=gelb_braun,QUECHUA,"39,99 €",8641502
Spraytop Segeln/Kajak Damen winddicht - 500 blau,damen,jacken,https://www.decathlon.de/p/spraytop-segeln-kajak-damen-winddicht-500/_/R-p-347164?mc=8841923&c=blau,TRIBORD,"39,99 €",8841923
Daunenjacke Damen bis -5 °C Wandern - MT100 bordeaux,damen,jacken,https://www.decathlon.de/p/daunenjacke-damen-bis-5-c-bergwandern-mt100/_/R-p-335256?mc=8666975&c=rot_grau,FORCLAZ,"59,99 €",8666975
Laufjacke Trailrunning Damen winddicht - lila,damen,jacken,https://www.decathlon.de/p/laufjacke-trailrunning-damen-winddicht/_/R-p-329488?mc=8608062&c=grau,EVADICT,"39,99 €",8608062
Softshelljacke Damen winddicht warm Trekking - MT900,damen,jacken,https://www.decathlon.de/p/softshelljacke-damen-winddicht-warm-trekking-mt900/_/R-p-301911?mc=8550542&c=grün,FORCLAZ,"79,99 €",8550542
Wattierte Jacke Damen bis 0 °C Bergwandern - MT50 marineblau,damen,jacken,https://www.decathlon.de/p/wattierte-jacke-damen-bis-0-c-bergwandern-mt50-marineblau/_/R-p-138625?mc=8357148&c=blau_schwarz,FORCLAZ,"19,99 €",8357148
Daunenjacke Damen Kapuze bis -10 °C Trekking - MT500,damen,jacken,https://www.decathlon.de/p/daunenjacke-damen-kapuze-bis-10-c-trekking-‒-mt500/_/R-p-333323?mc=8646583&c=blau,FORCLAZ,"99,99 €",8646583
Damen Fahrrad MTB Winterjacke - rosa,damen,jacken,https://www.decathlon.de/p/fahrradjacke-mtb-d-turkis-schw/_/R-p-305544?mc=8678463&c=violett_rot,ROCKRIDER,"34,99 €",8678463
Softshelljacke Damen winddicht warm Wandern - MT100 schwarz,damen,jacken,https://www.decathlon.de/p/softshelljacke-damen-winddicht-warm-wandern-mt100-schwarz/_/R-p-324153?mc=8641227&c=schwarz_grau,FORCLAZ,"39,99 €",8641227
Fahrrad-Regenjacke City 540 Damen sichtbar bei Nacht dunkelblau,damen,jacken,https://www.decathlon.de/p/fahrrad-regenjacke-city-540-damen-sichtbar-bei-nacht/_/R-p-341803?mc=8789244&c=blau_beige,BTWIN,"69,99 €",8789244
