name,url,brand,price
Schneestiefel Damen hoch warm wasserdicht Winterwandern - SH500 schwarz,https://www.decathlon.de/p/schneestiefel-damen-hoch-warm-wasserdicht-winterwandern-sh500/_/R-p-324197?mc=8580453&c=schwarz,QUECHUA,"54,99 €"
Schneestiefel Damen Klettverschluss warm wasserdicht - SH100 schwarz,https://www.decathlon.de/p/schneestiefel-damen-klettverschluss-warm-wasserdicht-sh100-schwarz/_/R-p-312022?mc=8581754&c=schwarz,QUECHUA,"34,99 €"
Wanderschuhe Damen halbhoch warm wasserdicht - SH500 Mountain schwarz/blau,https://www.decathlon.de/p/wanderschuhe-damen-halbhoch-warm-wasserdicht-sh500-mountain/_/R-p-340149?mc=8802409&c=blau_grün,QUECHUA,"89,99 €"
Winterschuhe Damen halbhoch Leder warm wasserdicht Winterwandern - SH900 grau,https://www.decathlon.de/p/winterschuhe-winterwandern-sh500-x-warm-halbhoch-wasserdicht-damen/_/R-p-174724?mc=8544192&c=grau,QUECHUA,"69,99 €"
Wanderschuhe Damen wasserdicht halbhoch Bergwandern - Merrell Crosslander braun,https://www.decathlon.de/p/wanderschuhe-damen-wasserdicht-halbhoch-bergwandern-merrell-crosslander-braun/_/R-p-X8808041?mc=8808041,MERRELL,"109,99 €"
Wanderschuhe Damen halbhoch wasserdicht - Columbia Hera Outdry,https://www.decathlon.de/p/wanderschuhe-damen-halbhoch-wasserdicht-columbia-hera-outdry/_/R-p-X8884278?mc=8884278,COLUMBIA,"139,99 €"
Winterschuhe Damen hoch warm wasserdicht Winterwandern - SH100 blau,https://www.decathlon.de/p/winterschuhe-damen-hoch-warm-wasserdicht-winterwandern-sh100-blau/_/R-p-143770?mc=8544190&c=blau_weiß,QUECHUA,"34,99 €"
Trekkingschuhe Damen wasserdicht Gore-Tex - Salomon Quest 4 GTX,https://www.decathlon.de/p/trekkingschuhe-damen-wasserdicht-gore-tex-salomon-quest-4-gtx/_/R-p-X8625199?mc=8625199,SALOMON,"184,99 €"
Wanderschuhe Damen halbhoch wasserdicht Wandern - MH100 grün,https://www.decathlon.de/p/wanderschuhe-damen-halbhoch-wasserdicht-wandern-mh100-grun/_/R-p-336189?mc=8789351,QUECHUA,"59,99 €"
Freizeitschuhe halbhoch Salomon X Ultra Pioneer Damen - GoreTex,https://www.decathlon.de/p/freizeitschuhe-halbhoch-salomon-x-ultra-pioneer-damen-goretex/_/R-p-X8814854?mc=8814854,SALOMON,"119,99 €"
Schneestiefel Damen hoch Schnürung warm wasserdicht - SH500 schwarz,https://www.decathlon.de/p/schneestiefel-damen-hoch-schnurung-warm-wasserdicht-winterwandern-sh500/_/R-p-340155?mc=8756982&c=blau,QUECHUA,"49,99 €"
Jagdstiefel SPORTHUNT 500 beige,https://www.decathlon.de/p/jagdstiefel-sporthunt-500-beige/_/R-p-333020?mc=8645926&c=braun,SOLOGNAC,"69,99 €"
